Original Name,Metallo Name,AWS Classification,Category,URL
"SuperArc® L-56®","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcl56_gmaw"
"SuperArc® L-59®","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcl59_gmaw"
"SuperArc® L-50®","Metallo ArcWeld ER70S-3","ER70S-3","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcl50_gmaw"
"SuperGlaze® SiBR","Metallo ArcWeld SiBR","","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superglazesibr_gmaw"
"SuperArc® XLS","Metallo ArcWeld ER70S-9","ER70S-9","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcxls_gmaw"
"SuperArc® LA-75","Metallo ArcWeld ER80S-Ni1","ER80S-Ni1","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcla75_gmaw"
"SuperArc® LA-90","Metallo ArcWeld ER90S-D2","ER90S-D2","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcla90_gmaw"
"SuperArc® LA-100","Metallo ArcWeld ER100S-G","ER100S-G","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcla100_gmaw"
"Pipeliner® 70S-6","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/pipeliner70s6_gmaw"
"Pipeliner® 80Ni1","Metallo ArcWeld ER80S-G","ER80S-G","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/pipeliner80ni1_gmaw"
"SuperArc® Orbital TIG L-56® N","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcorbitaltigl56n_gtaw"
"SuperArc® Orbital TIG L-52™ N","Metallo ArcWeld ER70S-2","ER70S-2","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcorbitaltigl52n_gtaw"
"SuperArc® Orbital TIG AK-10™","Metallo ArcWeld ER100S-G","ER100S-G","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcorbitaltigak10_gtaw"
"SuperGlide® S3","Metallo ArcWeld ER70S-3","ER70S-3","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superglides3_gmaw"
"SuperArc® AK-10®","Metallo ArcWeld ER100S-G","ER100S-G","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcak10_gmaw"
"Lincoln® LA-84 GTAW","Metallo ArcWeld ER90S-G","ER90S-G","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolnla84gtaw_gtaw"
"SuperGlide® S6","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superglides6_gmaw"
"Lincoln® ER80S-D2","Metallo ArcWeld ER80S-D2","ER80S-D2","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolner80sd2_gtaw"
"Lincoln® AK-10®","Metallo ArcWeld ER100S-G","ER100S-G","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolnak10_gtaw"
"Lincoln® ER70S-6","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolner70s6_gmaw"
"SuperArc® L-52","Metallo ArcWeld ER70S-2","ER70S-2","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcl52_gmaw"
"Lincoln® ER100S-1","Metallo ArcWeld ER100S-1","ER100S-1","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolner100s1_gtaw"
"Lincoln® ER80S-Ni1","Metallo ArcWeld ER80S-Ni1","ER80S-Ni1","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolner80sni1_gtaw"
"SuperArc® G4Si1","Metallo ArcWeld ER70S-6","ER70S-6","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/superarcg4si1_gmaw"
"Lincoln® ER70S-2","Metallo ArcWeld ER70S-2","ER70S-2","MIG Wires & TIG Cut Lengths","https://www.lincolnelectric.com/en/Products/lincolner70s2_gtaw"
"IronArc™ 7018 MR®","Metallo StickPro IronArc 7018 MR","E7018 H4R","Stick Electrodes","https://www.lincolnelectric.com/en/Products/ironarc7018mr_smaw"
"IronArc™ 7018-1 MR®","Metallo StickPro IronArc 7018-1 MR","E7018-1 H4R","Stick Electrodes","https://www.lincolnelectric.com/en/Products/ironarc70181mr_smaw"
"Excalibur® 7018 XMR™","Metallo StickPro 7018 XMR","E7018 H4R","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur7018xmr_smaw"
"Excalibur® 7018-1 MR®","Metallo StickPro 7018-1 MR","E7018-1 H4R","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur70181mr_smaw"
"Excalibur® 7018 MR®","Metallo StickPro 7018 MR","E7018 H4R","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur7018mr_smaw"
"Fleetweld® 5P+®","Metallo StickPro Fleetweld 5P+","E6010","Stick Electrodes","https://www.lincolnelectric.com/en/Products/fleetweld5pplus_smaw"
"Pipeliner® LH-D90","Metallo StickPro LH-D90","E9045-P2","Stick Electrodes","https://www.lincolnelectric.com/en/Products/pipelinerlhd90_smaw"
"Pipeliner® Arc 80","Metallo StickPro Arc 80","E8010-G","Stick Electrodes","https://www.lincolnelectric.com/en/Products/pipelinerarc80_smaw"
"Pipeliner® 8P+","Metallo StickPro 8P+","E8010-G","Stick Electrodes","https://www.lincolnelectric.com/en/Products/pipeliner8pplus_smaw"
"Pipeliner® 7P+","Metallo StickPro 7P+","E7010-P1","Stick Electrodes","https://www.lincolnelectric.com/en/Products/pipeliner7pplus_smaw"
"Shield-Arc® HYP+","Metallo StickPro Shield-Arc HYP+","E7010-P1","Stick Electrodes","https://www.lincolnelectric.com/en/Products/shieldarchypplus_smaw"
"Pipeliner® 6P+","Metallo StickPro 6P+","E6010","Stick Electrodes","https://www.lincolnelectric.com/en/Products/pipeliner6pplus_smaw"
"Excalibur® 8018-C3 MR®","Metallo StickPro 8018-C3 MR","E8018-C3","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur8018c3mr_smaw"
"Fleetweld® 5P®","Metallo StickPro Fleetweld 5P","E6010","Stick Electrodes","https://www.lincolnelectric.com/en/Products/fleetweld5p_smaw"
"Jetweld® 1","Metallo StickPro Jetweld 1","E7024-1","Stick Electrodes","https://www.lincolnelectric.com/en/Products/jetweld1_smaw"
"Fleetweld® 35","Metallo StickPro Fleetweld 35","E6011","Stick Electrodes","https://www.lincolnelectric.com/en/Products/fleetweld35_smaw"
"Fleetweld® 180","Metallo StickPro Fleetweld 180","E6011","Stick Electrodes","https://www.lincolnelectric.com/en/Products/fleetweld180_smaw"
"Fleetweld® 47","Metallo StickPro Fleetweld 47","E7014","Stick Electrodes","https://www.lincolnelectric.com/en/Products/fleetweld47_smaw"
"Fleetweld® 22","Metallo StickPro Fleetweld 22","E6022","Stick Electrodes","https://www.lincolnelectric.com/en/Products/fleetweld22_smaw"
"Lincoln® 7018 AC","Metallo StickPro 7018 AC","E7018 H8","Stick Electrodes","https://www.lincolnelectric.com/en/Products/lincoln7018ac_smaw"
"Shield-Arc® 85","Metallo StickPro Shield-Arc 85","E7010-A1","Stick Electrodes","https://www.lincolnelectric.com/en/Products/shieldarc85_smaw"
"Excalibur® 7028","Metallo StickPro 7028","E7028 H8","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur7028_smaw"
"Excalibur® 7018-A1 MR®","Metallo StickPro 7018-A1 MR","E7018-A1","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur7018a1mr_smaw"
"Excalibur® 8018-C1 MR®","Metallo StickPro 8018-C1 MR","E8018-C1","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur8018c1mr_smaw"
"Excalibur® 9018M MR®","Metallo StickPro 9018M MR","E9018M","Stick Electrodes","https://www.lincolnelectric.com/en/Products/excalibur9018mmr_smaw"
"Metalshield® MC-70 XLS®","Metallo CoreMax MC-70 XLS","E70C-6M-H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc70xls_mcaw"
"Metalshield® MC-80 XLS®","Metallo CoreMax MC-80 XLS","E80C-Ni1-H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc80xls_mcaw"
"Metalshield® MC®-90","Metallo CoreMax MC-90","E90C-K3 H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc90_mcaw"
"Metalshield® MC®-110","Metallo CoreMax MC-110","E110C-K4 H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc110_mcaw"
"Metalshield® MC®-120","Metallo CoreMax MC-120","E120C-K4-H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldmc120_mcaw"
"METALSHIELD® HDT™","Metallo CoreMax HDT","E70C-GM-H4","Metal-Cored Wires","https://www.lincolnelectric.com/en/Products/metalshieldhdt_mcaw"
